,Time
0,0.0
1,16.781
2,35.703
3,53.781
4,71.922
5,90.094
6,108.281
7,126.453
8,144.641
9,162.844
10,181.016
11,199.219
12,217.391
13,235.594
14,253.75
15,271.984
16,290.141
17,308.359
18,326.5
19,344.75
20,362.906
21,381.047
22,399.187
23,417.281
24,435.484
25,453.672
26,471.812
27,490.203
28,508.344
29,526.625
30,544.922
31,563.125
32,581.406
33,599.656
34,617.875
35,636.047
36,654.422
37,672.594
38,690.812
39,708.937
40,727.266
41,745.578
42,763.797
43,782.109
44,800.484
45,818.797
46,837.016
47,855.25
48,873.578
49,891.812
50,910.141
51,928.391
52,946.719
53,965.047
54,983.391
55,1001.766
56,1020.172
57,1038.594
58,1056.922
59,1075.203
60,1093.687
61,1112.0
62,1130.328
63,1148.75
64,1167.125
65,1185.641
66,1203.984
67,1222.406
68,1240.797
69,1259.156
70,1277.547
71,1295.906
72,1314.297
73,1332.687
74,1351.203
75,1369.687
76,1388.125
77,1406.578
78,1425.062
79,1443.609
80,1462.047
81,1480.547
82,1499.031
83,1517.672
84,1536.109
85,1554.781
86,1573.281
87,1591.859
88,1610.406
89,1628.953
90,1647.562
91,1666.062
92,1684.656
93,1703.219
94,1721.891
95,1740.437
96,1759.016
97,1777.641
98,1796.328
99,1815.047
100,1833.75
101,1852.391
102,1871.078
103,1889.844
104,1908.578
105,1927.281
106,1946.031
107,1964.891
108,1983.703
109,2002.484
110,2021.187
111,2039.906
112,2058.641
113,2077.406
114,2096.312
115,2115.047
116,2133.969
117,2152.812
118,2171.625
119,2190.547
120,2209.422
121,2228.297
122,2247.219
123,2265.969
124,2284.937
125,2303.859
126,2322.797
127,2341.766
128,2360.594
129,2379.578
130,2398.672
131,2417.797
132,2436.906
133,2455.969
134,2474.984
135,2494.031
136,2513.187
137,2532.391
138,2551.547
139,2570.578
140,2589.703
141,2608.797
142,2627.953
143,2647.234
144,2666.516
145,2685.812
146,2704.969
147,2724.203
148,2743.453
149,2762.625
150,2781.922
151,2801.25
152,2820.625
153,2839.937
154,2859.234
155,2878.578
156,2897.937
157,2917.281
158,2936.687
159,2956.078
160,2975.453
161,2994.969
162,3014.453
163,3033.891
164,3053.375
165,3072.859
166,3092.328
167,3111.828
168,3131.234
169,3150.672
170,3170.187
171,3189.734
172,3209.297
173,3229.016
174,3248.625
175,3268.328
176,3287.969
177,3307.625
178,3327.234
179,3346.937
180,3366.781
181,3386.641
182,3406.656
183,3426.625
184,3446.875
185,3466.984
186,3487.078
187,3507.328
188,3527.562
189,3547.781
190,3568.062
191,3588.328
192,3608.594
193,3628.953
194,3649.375
195,3669.875
196,3690.234
197,0.0
198,16.672
199,35.703
200,53.828
201,71.891
202,90.047
203,108.313
204,126.391
205,144.625
206,162.719
207,180.953
208,199.016
209,217.297
210,235.469
211,253.735
212,271.813
213,290.063
214,308.266
215,326.422
216,344.594
217,362.782
218,381.016
219,399.25
220,417.422
221,435.563
222,453.75
223,472.032
224,490.328
225,508.516
226,526.641
227,544.891
228,563.078
229,581.235
230,599.5
231,617.703
232,636.032
233,654.172
234,672.344
235,690.547
236,708.844
237,727.047
238,745.266
239,763.703
240,782.0
241,800.25
242,818.563
243,836.953
244,855.344
245,873.578
246,891.828
247,910.25
248,928.625
249,947.0
250,965.344
251,983.688
252,1002.0
253,1020.344
254,1038.703
255,1057.078
256,1075.422
257,1093.75
258,1112.063
259,1130.485
260,1148.75
261,1167.094
262,1185.438
263,1203.875
264,1222.172
265,1240.563
266,1259.094
267,1277.453
268,1295.844
269,1314.391
270,1332.766
271,1351.235
272,1369.688
273,1388.141
274,1406.61
275,1425.188
276,1443.703
277,1462.282
278,1480.672
279,1499.203
280,1517.766
281,1536.313
282,1554.828
283,1573.422
284,1591.969
285,1610.532
286,1629.235
287,1647.844
288,1666.5
289,1685.094
290,1703.719
291,1722.344
292,1741.016
293,1759.703
294,1778.36
295,1796.969
296,1815.625
297,1834.297
298,1852.953
299,1871.657
300,1890.313
301,1909.172
302,1927.875
303,1946.672
304,1965.407
305,1984.188
306,2002.907
307,2021.625
308,2040.36
309,2059.078
310,2077.86
311,2096.641
312,2115.688
313,2134.594
314,2153.563
315,2172.407
316,2191.25
317,2210.11
318,2228.938
319,2247.953
320,2266.875
321,2286.0
322,2305.032
323,2323.985
324,2342.907
325,2362.016
326,2381.125
327,2400.078
328,2419.063
329,2438.078
330,2457.172
331,2476.266
332,2495.36
333,2514.438
334,2533.438
335,2552.516
336,2571.578
337,2590.735
338,2609.813
339,2628.969
340,2648.266
341,2667.516
342,2686.735
343,2706.047
344,2725.328
345,2744.703
346,2763.907
347,2783.047
348,2802.344
349,2821.641
350,2840.922
351,2860.407
352,2879.766
353,2899.141
354,2918.438
355,2937.922
356,2957.407
357,2976.813
358,2996.188
359,3015.641
360,3035.094
361,3054.578
362,3074.016
363,3093.532
364,3113.094
365,3132.641
366,3152.235
367,3171.766
368,3191.25
369,3210.703
370,3230.375
371,3250.032
372,3269.688
373,3289.532
374,3309.188
375,3328.828
376,3348.735
377,3368.688
378,3388.735
379,3408.75
380,3428.719
381,3448.797
382,3468.953
383,3489.219
384,3509.61
385,3529.828
386,3550.157
387,3570.453
388,3590.797
389,3611.172
390,3631.438
391,3651.875
392,3672.344
393,0.0
394,16.797
395,35.766
396,53.891
397,72.094
398,90.187
399,108.328
400,126.609
401,144.828
402,163.062
403,181.25
404,199.406
405,217.453
406,235.516
407,253.797
408,271.937
409,290.109
410,308.25
411,326.375
412,344.562
413,362.719
414,380.844
415,399.078
416,417.234
417,435.437
418,453.641
419,471.844
420,490.062
421,508.281
422,526.516
423,544.75
424,562.969
425,581.187
426,599.359
427,617.547
428,635.719
429,654.078
430,672.359
431,690.562
432,709.0
433,727.172
434,745.453
435,763.672
436,781.937
437,800.312
438,818.641
439,836.969
440,855.344
441,873.734
442,892.125
443,910.344
444,928.641
445,947.031
446,965.422
447,983.781
448,1002.156
449,1020.531
450,1038.875
451,1057.391
452,1075.812
453,1094.172
454,1112.547
455,1130.906
456,1149.203
457,1167.5
458,1185.844
459,1204.234
460,1222.562
461,1241.0
462,1259.406
463,1277.875
464,1296.266
465,1314.687
466,1333.203
467,1351.703
468,1370.203
469,1388.703
470,1407.234
471,1425.766
472,1444.312
473,1462.781
474,1481.391
475,1499.953
476,1518.484
477,1537.094
478,1555.641
479,1574.203
480,1592.734
481,1611.266
482,1629.812
483,1648.406
484,1666.984
485,1685.516
486,1704.25
487,1722.812
488,1741.469
489,1760.156
490,1778.828
491,1797.547
492,1816.297
493,1835.031
494,1853.781
495,1872.531
496,1891.266
497,1910.031
498,1928.687
499,1947.344
500,1966.062
501,1984.719
502,2003.437
503,2022.203
504,2040.984
505,2059.766
506,2078.562
507,2097.359
508,2116.094
509,2134.859
510,2153.719
511,2172.672
512,2191.609
513,2210.516
514,2229.437
515,2248.422
516,2267.469
517,2286.406
518,2305.297
519,2324.281
520,2343.359
521,2362.25
522,2381.203
523,2400.266
524,2419.234
525,2438.312
526,2457.422
527,2476.484
528,2495.625
529,2514.734
530,2533.859
531,2552.937
532,2572.016
533,2591.125
534,2610.266
535,2629.437
536,2648.641
537,2667.766
538,2686.906
539,2705.984
540,2725.266
541,2744.562
542,2763.812
543,2783.156
544,2802.406
545,2821.719
546,2840.953
547,2860.344
548,2879.719
549,2899.25
550,2918.703
551,2938.156
552,2957.469
553,2976.859
554,2996.297
555,3015.766
556,3035.281
557,3054.797
558,3074.297
559,3093.719
