,Time
0,0.0
1,9.422
2,19.578
3,29.016
4,38.485
5,47.906
6,57.328
7,66.75
8,76.156
9,85.594
10,95.031
11,104.391
12,113.766
13,123.125
14,132.531
15,141.938
16,151.328
17,160.735
18,170.125
19,179.531
20,188.938
21,198.344
22,207.719
23,217.172
24,226.578
25,235.938
26,245.36
27,254.828
28,264.188
29,273.594
30,283.0
31,292.406
32,301.86
33,311.219
34,320.563
35,329.953
36,339.328
37,348.688
38,358.063
39,367.422
40,376.828
41,386.235
42,395.625
43,405.047
44,414.469
45,423.86
46,433.266
47,442.625
48,452.125
49,461.5
50,470.86
51,480.219
52,489.641
53,499.0
54,508.391
55,517.735
56,527.078
57,536.422
58,545.813
59,555.188
60,564.547
61,573.938
62,583.313
63,592.688
64,602.047
65,611.469
66,620.906
67,630.281
68,639.641
69,649.016
70,658.406
71,667.781
72,677.172
73,686.516
74,695.922
75,705.313
76,714.735
77,724.141
78,733.5
79,742.891
80,752.281
81,761.656
82,771.031
83,780.422
84,789.844
85,799.25
86,808.656
87,818.031
88,827.438
89,836.781
90,846.188
91,855.641
92,865.031
93,874.453
94,883.828
95,893.219
96,902.578
97,911.953
98,921.328
99,930.813
100,940.188
101,949.578
102,958.953
103,968.313
104,977.703
105,987.063
106,996.391
107,1005.797
108,1015.156
109,1024.516
110,1033.891
111,1043.266
112,1052.641
113,1062.031
114,1071.375
115,1080.781
116,1090.266
117,1099.672
118,1109.156
119,1118.516
120,1127.906
121,1137.328
122,1146.735
123,1156.11
124,1165.578
125,1174.985
126,1184.485
127,1193.875
128,1203.281
129,1212.672
130,1222.078
131,1231.516
132,1240.906
133,1250.297
134,1259.672
135,1269.063
136,1278.406
137,1287.781
138,1297.188
139,1306.641
140,1316.047
141,1325.438
142,1334.797
143,1344.235
144,1353.641
145,1363.016
146,1372.438
147,1381.86
148,1391.25
149,1400.703
150,1410.094
151,1419.469
152,1428.828
153,1438.219
154,1447.578
155,1456.938
156,1466.281
157,1475.641
158,1485.063
159,1494.422
160,1503.797
161,1513.188
162,1522.641
163,1532.031
164,1541.344
165,1550.781
166,1560.188
167,1569.563
168,1579.016
169,1588.422
170,1597.828
171,1607.235
172,1616.61
173,1626.016
174,1635.438
175,1644.844
176,1654.235
177,1663.641
178,1673.078
179,1682.485
180,1691.844
181,1701.25
182,1710.656
183,1720.016
184,1729.422
185,1738.875
186,1748.297
187,1757.656
188,1767.016
189,1776.36
190,1785.781
191,1795.203
192,1804.625
193,1814.016
194,1823.375
195,1832.75
196,1842.156
197,1851.531
198,1860.922
199,1870.375
200,1879.766
201,1889.172
202,1898.594
203,1908.047
204,1917.438
205,1926.797
206,1936.141
207,1945.547
208,1954.922
209,1964.328
210,1973.875
211,1983.235
212,1992.735
213,2002.125
214,2011.531
215,2020.922
216,2030.406
217,2039.813
218,2049.188
219,2058.578
220,2068.031
221,2077.391
222,2086.75
223,2096.141
224,2105.531
225,2114.953
226,2124.391
227,2133.813
228,2143.219
229,2152.61
230,2162.063
231,2171.453
232,2180.86
233,2190.281
234,2199.735
235,2209.11
236,2218.5
237,2227.891
238,2237.266
239,2246.672
240,2256.094
241,2265.469
242,2274.844
243,2284.266
244,2293.641
245,2303.031
246,2312.391
247,2321.781
248,2331.125
249,2340.5
250,2349.891
251,2359.297
252,2368.703
253,2378.11
254,2387.5
255,2396.86
256,2406.25
257,2415.656
258,2425.063
259,2434.485
260,2443.86
261,2453.203
262,2462.563
263,2472.016
264,2481.453
265,2490.891
266,2500.281
267,2509.625
268,2519.031
269,2528.453
270,2537.781
271,2547.172
272,2556.547
273,2565.985
274,2575.406
275,2584.781
