Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD,SOC,Voltage
4.121227217,0.000245923,43.15149834,0.0006,0,0,1.65607061,1572.359,1,4.200800223
4.121228265,0.001759301,43.15238579,0.0006,4.137,9.359,1.65607061,1563,0.954585328,4.15023049
3.785854961,-4.023210864,43.17866173,4.001,1.894,19.453,1.65607061,1552.906,0.976671999,4.107720846
3.76070828,-4.02596049,43.29620041,4.001,1.882,28.781,1.65607061,1543.578,0.984465964,3.898457056
3.740428907,-4.022908374,43.45112281,4.001,1.866,38.156,1.65607061,1534.203,0.947281915,3.764756125
3.723082404,-4.023997552,43.61470512,4.001,1.849,47.516,1.65607061,1524.843,0.953301305,3.767087113
3.707812653,-4.024172971,43.78388374,4.001,1.832,56.844,1.65607061,1515.515,0.947487757,3.754131933
3.693805638,-4.024301941,44.01545179,4.001,1.82,66.219,1.65607061,1506.14,0.936509321,3.723283926
3.680859771,-4.022973659,44.21705402,4.001,1.804,75.531,1.65607061,1496.828,0.927068337,3.69760959
3.668565008,-4.022907955,44.38933165,4.001,1.791,84.844,1.65607061,1487.515,0.920697671,3.680664148
3.656972465,-4.022783049,44.62017314,4.001,1.779,94.141,1.65607061,1478.218,0.916072662,3.666301282
3.645885415,-4.023318506,44.80646382,4.001,1.766,103.5,1.65607061,1468.859,0.912610975,3.654760451
3.635709715,-4.023828033,44.99185731,4.001,1.756,112.859,1.65607061,1459.5,0.909492262,3.643343715
3.6264601,-4.024648805,45.21973936,4.001,1.746,122.281,1.65607061,1450.078,0.906830766,3.632022355
3.617939536,-4.023388642,45.4328753,4.001,1.737,131.625,1.65607061,1440.734,0.904813142,3.622699791
3.610134999,-4.025448598,45.5680744,4.001,1.729,141.016,1.65607061,1431.343,0.903071158,3.615287362
3.602806981,-4.024579172,45.72762157,4.001,1.721,150.375,1.65607061,1421.984,0.901262796,3.606970483
3.595745968,-4.022065426,45.92052786,4.001,1.714,159.688,1.65607061,1412.671,0.89971305,3.598839522
3.589344094,-4.023076045,46.05251891,4.001,1.709,169.047,1.65607061,1403.312,0.898447769,3.59267438
3.583103188,-4.0227868,46.23103514,4.001,1.703,178.344,1.65607061,1394.015,0.89713854,3.585294662
3.577190766,-4.023372732,46.34448385,4.001,1.698,187.703,1.65607061,1384.656,0.896112256,3.580180222
3.571732895,-4.02298817,46.46708728,4.001,1.693,197.063,1.65607061,1375.296,0.894900634,3.574042521
3.566382548,-4.023374927,46.66160564,4.001,1.688,206.406,1.65607061,1365.953,0.893850469,3.566987597
3.561289801,-4.023252578,46.77749401,4.001,1.684,215.766,1.65607061,1356.593,0.893217561,3.563194661
3.556550941,-4.023689069,46.88940033,4.001,1.679,225.109,1.65607061,1347.25,0.892280525,3.55809646
3.551797029,-4.024953642,47.00121302,4.001,1.675,234.453,1.65607061,1337.906,0.891424719,3.553261008
3.547394508,-4.024787208,47.15668668,4.001,1.671,243.844,1.65607061,1328.515,0.890588432,3.547577149
3.542968701,-4.024591446,47.25202714,4.001,1.667,253.203,1.65607061,1319.156,0.89005867,3.544433474
3.538685675,-4.023202226,47.39912964,4.001,1.663,262.547,1.65607061,1309.812,0.889228565,3.538863329
3.534483284,-4.02442338,47.56362341,4.001,1.659,271.875,1.65607061,1300.484,0.888700387,3.5340882
3.530476625,-4.02372338,47.67147856,4.001,1.656,281.203,1.65607061,1291.156,0.888307155,3.531173596
3.526564371,-4.02278271,47.7562191,4.001,1.653,290.516,1.65607061,1281.843,0.88765948,3.527590494
3.522610734,-4.024930863,47.94147348,4.001,1.649,299.844,1.65607061,1272.515,0.886932553,3.522873723
3.518771118,-4.022837334,48.0940882,4.001,1.646,309.141,1.65607061,1263.218,0.886384104,3.519553683
3.514931844,-4.023841413,48.14556029,4.001,1.643,318.438,1.65607061,1253.921,0.885714284,3.518024742
3.511205678,-4.024910606,48.28381412,4.001,1.639,327.813,1.65607061,1244.546,0.884498422,3.513424098
3.507599121,-4.022751468,48.4397594,4.001,1.635,337.172,1.65607061,1235.187,0.883471364,3.509097334
3.503939373,-4.023923587,48.50436153,4.001,1.633,346.531,1.65607061,1225.828,0.882621276,3.50697628
3.500266951,-4.023613595,48.60710401,4.001,1.629,355.875,1.65607061,1216.484,0.881407277,3.503337411
3.496580669,-4.024187518,48.74860951,4.001,1.625,365.156,1.65607061,1207.203,0.880176094,3.498865339
3.49305269,-4.022145303,48.82866156,4.001,1.622,374.453,1.65607061,1197.906,0.879135697,3.496273294
3.489550906,-4.023690904,48.99694318,4.001,1.619,383.828,1.65607061,1188.531,0.877881114,3.491210231
3.48583446,-4.023908367,49.09451286,4.001,1.615,393.172,1.65607061,1179.187,0.876999493,3.488560276
3.482443071,-4.023147576,49.15310991,4.001,1.612,402.609,1.65607061,1169.75,0.875880905,3.486269726
